sl_no,Product_name,Review,Rating,Polarity,Predicted_Sentiment,stemmed_content,Sentiment
176,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Don't buy this phone it has bad camera quality,1,-0.6999999999999998,Negative,buy phone bad camera qualiti,Negative
177,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Worst ever!!,1,-1.0,Negative,worst ever,Negative
178,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Good,5,0.7,Positive,good,Positive
179,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)","Don't buy if you don't want your money wasted. It's 13mp camera is a gimmick, it gives worst photos, Pathetic camera quality, didn't expect this from realme.",1,-0.7333333333333334,Negative,buy want money wast mp camera gimmick give worst photo pathet camera qualiti expect realm,Negative
180,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Working smoothly. As expected.,5,-0.1,Negative,work smoothli expect,Positive
181,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Nice,5,0.6,Positive,nice,Positive
182,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Nice camera,3,0.6,Positive,nice camera,Neutral
183,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Very bad quality,2,-0.9099999999999998,Negative,bad qualiti,Negative
184,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Nice product and 📸 is bad,5,-0.04999999999999993,Negative,nice product bad,Positive
185,LAVA Flip  (Blue),"Awesome mobile for young generation and old generation, though it is not 4g mobile, but it's very good in look. You can go only for look if you are not old enough. Red colour is costly, that's disappoint the customers, everything was else is good enough. Its for the person who was not able to purchase flip mobile due to its cost and price. The warranty is Awesome, the price is awesome, go for this mobile.",5,0.3132142857142858,Positive,awesom mobil young gener old gener though g mobil good look go look old enough red colour costli disappoint custom everyth els good enough person abl purchas flip mobil due cost price warranti awesom price awesom go mobil,Positive
186,LAVA Flip  (Blue),"I have been using this device for a week now.I bought it to use as my primary device to make and receive phone calls and so far it has been great. Nostalgia part is also there. Owned Samsung and Motorola flip phones in the past during school days and these phones have a special place in my heart.It is good value for money device. Good battery life, good clarity during phone calls, no heating or any issues so far. Jio 4G doesn't work but I have tried using Vodafone, Airtel and BSNL and the...",4,0.4007936507936508,Positive,use devic week bought use primari devic make receiv phone call far great nostalgia part also own samsung motorola flip phone past school day phone special place heart good valu money devic good batteri life good clariti phone call heat issu far jio g work tri use vodafon airtel bsnl,Positive
187,LAVA Flip  (Blue),Good and Nice Product. With good battery back up for (3 Days) as i used it for some days and writting my reviews. Best and good phone a very handy one. Aapka apna shauk flip phones k liye hai toh zaroor purchase kariye. It is a good phone.,5,0.6475000000000001,Positive,good nice product good batteri back day use day writ review best good phone handi one aapka apna shauk flip phone k liy hai toh zaroor purchas kariy good phone,Positive
188,LAVA Flip  (Blue),"Wow... It is an amazing product. Honestly, I bought it just for looks and design. It is a nostalgic feeling when you hold it in your hand. Bright in colour and very light in weight. Camera on the other hand is just OK for a phone in this range. Display is also good. This product can easily draw anyone's attention towards the user. Over-all a very nice product from LAVA and I would definitely love to see more new and upgraded models of such a phone.",5,0.362979797979798,Positive,wow amaz product honestli bought look design nostalg feel hold hand bright colour light weight camera hand ok phone rang display also good product easili draw anyon attent toward user nice product lava would definit love see new upgrad model phone,Positive
189,LAVA Flip  (Blue),Awesome feature mobile 📱. Smart keypad . Wireless FM .Long battery backup. Auto call recording. 32GB expandable memory. Led flash for call message and battery charging. Standard look . Handy mobile And most important Proudly Indian.Awesome Lava .... looking for this type feature mobile for long time.... expecting more flip phone from Lava...,5,0.44047619047619047,Positive,awesom featur mobil smart keypad wireless fm long batteri backup auto call record gb expand memori led flash call messag batteri charg standard look handi mobil import proudli indian awesom lava look type featur mobil long time expect flip phone lava,Positive
190,LAVA Flip  (Blue),Value for money. Battery lasts for 10 days. Incredible.,5,0.9,Positive,valu money batteri last day incred,Positive
191,LAVA Flip  (Blue),"Decent Basic mobile at this price. Satin finish gives elegant look. Battery Backup is comes for 3 days on regular use. Display is good. It's just a VGA camera which is enough,if it is used for calling purpose. Collectively product is good for its look, basic usage.",4,0.2952380952380952,Positive,decent basic mobil price satin finish give eleg look batteri backup come day regular use display good vga camera enough use call purpos collect product good look basic usag,Positive
192,LAVA Flip  (Blue),Cutting two stars for pathetic  delivery.  Delivery man was so bad. I can't even describe how he bothered.  And this happened very first time.  Otherwise product is very good.Pros first: 1. very good looking phone2. Battery backup is very good.3. Some preloded  timepass game.4. Phone looks classy and stylish.5. Flip gives very comfortable talking experience Now cons:1. Would be better if had a dual display 2. Phone  is bit overpriced. 1200-1300 would be a great deal3. At least int...,3,0.0926923076923077,Positive,cut two star pathet deliveri deliveri man bad even describ bother happen first time otherwis product good pro first good look phone batteri backup good prelod timepass game phone look classi stylish flip give comfort talk experi con would better dual display phone bit overpr would great deal least int,Neutral
193,LAVA Flip  (Blue),"Super cute one(Red) though I always use samsung, one plus & iphone still I took this one for my passion and love for small red flip.. really loved it❤️ it's damn cute❤️❤️",5,0.2972222222222222,Positive,super cute one red though alway use samsung one plu iphon still took one passion love small red flip realli love damn cute,Positive
194,LAVA Flip  (Blue),Nice backup phone at this price range... classy look n feel...battery backup is really good...call quality is also very nice.. network capturing is great..I mean no distortion of voice even when the phone has 2 bars..only downside is the voice prompt keypad.. it's a little annoying.. but overall it's a great phone to have..,4,0.1311111111111111,Positive,nice backup phone price rang classi look n feel batteri backup realli good call qualiti also nice network captur great mean distort voic even phone bar downsid voic prompt keypad littl annoy overal great phone,Positive
195,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Good for simple use battery life is good but charging time is more than 2.5 hour all of good product is compair to its price,3,0.5199999999999999,Positive,good simpl use batteri life good charg time hour good product compair price,Neutral
196,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Don't buy this phone it has bad camera quality,1,-0.6999999999999998,Negative,buy phone bad camera qualiti,Negative
197,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Worst ever!!,1,-1.0,Negative,worst ever,Negative
198,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Good,5,0.7,Positive,good,Positive
199,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)","Don't buy if you don't want your money wasted. It's 13mp camera is a gimmick, it gives worst photos, Pathetic camera quality, didn't expect this from realme.",1,-0.7333333333333334,Negative,buy want money wast mp camera gimmick give worst photo pathet camera qualiti expect realm,Negative
200,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Working smoothly. As expected.,5,-0.1,Negative,work smoothli expect,Positive
201,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Nice,5,0.6,Positive,nice,Positive
202,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Nice camera,3,0.6,Positive,nice camera,Neutral
203,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Very bad quality,2,-0.9099999999999998,Negative,bad qualiti,Negative
204,"realme C21Y (Cross Black, 32 GB)  (3 GB RAM)",Nice product and 📸 is bad,5,-0.04999999999999993,Negative,nice product bad,Positive
205,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",Bad Things :-1. Camera quality is normal. 2. Selfie is bad3. Micro USB4. Sound system is not good Good Things:-1. Battery back up is awesome 2. Some extra features in this price3. Finger print sensor and Face lock sensor is so fast4. Screen resolution is goodOverall :-Overall this phone is good except camera quality.,3,0.19,Positive,bad thing camera qualiti normal selfi bad micro usb sound system good good thing batteri back awesom extra featur price finger print sensor face lock sensor fast screen resolut goodoveral overal phone good except camera qualiti,Neutral
206,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","Just an Average PhonePros:✓The phone build quality is good.✓The display is average, it's not that bright outdoors.✓Beware that the Realme OS is different,  it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.✓Camera is decent outdoors, without enough lighting it struggles like hell.Cons:× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...",3,0.12380952380952381,Positive,averag phonepro phone build qualiti good display averag bright outdoor bewar realm os differ come realm ui r stock android version realm ui think chipset power os phone perform better camera decent outdoor without enough light struggl like hell con think game devic advic would go poco reload,Neutral
207,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",1) many options missing - no game mode OR game space like stuff - no stock file manager ( google files installed ) - no stock gallery ( google photos installed )Most of the stock options is replaced with Google appNEED GAME SPACENAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMIAverage CAMERA QUALITYDon't buy if you like to get pictures and SelfiesBattery Good enough batteryCharge full 100% at least once when you buy GamingNo Game Space - Notification annoying while playing ...,3,-0.03205128205128206,Negative,mani option miss game mode game space like stuff stock file manag googl file instal stock galleri googl photo instal stock option replac googl appne game spacenavig bar remain black play bgmiaverag camera qualitydon buy like get pictur selfiesbatteri good enough batterycharg full least buy gamingno game space notif annoy play,Neutral
208,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4,0.3105555555555556,Positive,super compani phone galleri see photo googl photo screenshot set also nice phone sensit give star rate sound qualiti best geometr design look class torch also power,Positive
209,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4,0.1435,Positive,your buy click nice photo video swiftli avoid camera fine phone fast process superfast fingerprint censor cool weight distribut like typic light weight phone realm brand weird thing find file manag galleri applic weir,Positive
210,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5,0.2555555555555556,Positive,love phone believ give phone price realli understand bad review camera bad ok normal use game phone buy look normal user phone perfect rang awesom guy go thank flipkart,Positive
211,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.                                     Thank you Filpkart 👍",4,0.38999999999999996,Positive,mobil touch smooth batteri backup best front camera good beat phone money thank filpkart,Positive
212,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","Cons.1.Three finger screen shot option not available2.default  system app lock option not available3. Double tap screen lock, screen wake up not available4.real time network speed tracker option not available5. Data usage icon not available6. Realme system theme app not available7.realme system default gallery app not available only Google photos pre-installed8. Realme file manager app not available only Google file manager installed9. Camera quality poor like VGA camera10. Low end...",1,-0.1142857142857143,Negative,con three finger screen shot option avail default system app lock option avail doubl tap screen lock screen wake avail real time network speed tracker option avail data usag icon avail realm system theme app avail realm system default galleri app avail googl photo pre instal realm file manag app avail googl file manag instal camera qualiti poor like vga camera low end,Negative
213,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",Realme mobile is battery very good camera is best rest mobile awesome mobile thank you,5,0.9700000000000001,Positive,realm mobil batteri good camera best rest mobil awesom mobil thank,Positive
214,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)","At this price range realme c21y is good for daily uses,rear camera is good at sunlight,u can click quite good images,it's battery backup super,display is good enough at this price range,i'm disappointed with the selfie camera,they have used very basic camera,this phone is not for selfie lovers.speaker sound is not bad,about overall performance,yeah is okay.",5,0.26818181818181813,Positive,price rang realm c good daili use rear camera good sunlight u click quit good imag batteri backup super display good enough price rang disappoint selfi camera use basic camera phone selfi lover speaker sound bad overal perform yeah okay,Positive
215,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",Bad Things :-1. Camera quality is normal. 2. Selfie is bad3. Micro USB4. Sound system is not good Good Things:-1. Battery back up is awesome 2. Some extra features in this price3. Finger print sensor and Face lock sensor is so fast4. Screen resolution is goodOverall :-Overall this phone is good except camera quality.,3,0.19,Positive,bad thing camera qualiti normal selfi bad micro usb sound system good good thing batteri back awesom extra featur price finger print sensor face lock sensor fast screen resolut goodoveral overal phone good except camera qualiti,Neutral
216,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","Just an Average PhonePros:✓The phone build quality is good.✓The display is average, it's not that bright outdoors.✓Beware that the Realme OS is different,  it comes with Realme UI R, which is stock android version of realme UI, I think the chipset being not that powerful, With this OS phone can perform better.✓Camera is decent outdoors, without enough lighting it struggles like hell.Cons:× If you think of doing gaming on this device, my advice would be go for POCO M3, M2 reloaded or S...",3,0.12380952380952381,Positive,averag phonepro phone build qualiti good display averag bright outdoor bewar realm os differ come realm ui r stock android version realm ui think chipset power os phone perform better camera decent outdoor without enough light struggl like hell con think game devic advic would go poco reload,Neutral
217,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",1) many options missing - no game mode OR game space like stuff - no stock file manager ( google files installed ) - no stock gallery ( google photos installed )Most of the stock options is replaced with Google appNEED GAME SPACENAVIGATION BAR REMAINING BLACK WHILE PLAYING BGMIAverage CAMERA QUALITYDon't buy if you like to get pictures and SelfiesBattery Good enough batteryCharge full 100% at least once when you buy GamingNo Game Space - Notification annoying while playing ...,3,-0.03205128205128206,Negative,mani option miss game mode game space like stuff stock file manag googl file instal stock galleri googl photo instal stock option replac googl appne game spacenavig bar remain black play bgmiaverag camera qualitydon buy like get pictur selfiesbatteri good enough batterycharg full least buy gamingno game space notif annoy play,Neutral
218,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","Super Company but in this phone I am not having gallery and I am seeing my photos in Google photos and screenshot settings are also not nice but the phone is very sensitive so, I am giving 5 star rating and the sound quality is best and the geometrical design is just looking class, the torch is also powerful.",4,0.3105555555555556,Positive,super compani phone galleri see photo googl photo screenshot set also nice phone sensit give star rate sound qualiti best geometr design look class torch also power,Positive
219,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","If youre buying for clicking nice photos and videos, then swiftly avoid it, the camera is not for you. Other than that, it's a fine phone, fast processing, superfast fingerprint censor and cool weight distribution and not like typical light weight phone of realme brand. Only weird thing is that I couldn't find a FILE MANAGER and GALLERY application in it. Very very weired.",4,0.1435,Positive,your buy click nice photo video swiftli avoid camera fine phone fast process superfast fingerprint censor cool weight distribut like typic light weight phone realm brand weird thing find file manag galleri applic weir,Positive
220,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",I loved this phone. I can't believe they are giving this phone at this price. I really don't understand the bad reviews.And the camera is not that bad it is ok for normal use. It is not a gaming phone so don't buy it if you are looking for that. But for normal users the phone is perfect at this range. It is awesome guys go for it. Thank you flipkart 💐💐.,5,0.2555555555555556,Positive,love phone believ give phone price realli understand bad review camera bad ok normal use game phone buy look normal user phone perfect rang awesom guy go thank flipkart,Positive
221,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","Mobile touch is very smooth ☺️ and battery backup is best , but front camera is not good .but beat phone in this money 💰👍👍.                                     Thank you Filpkart 👍",4,0.38999999999999996,Positive,mobil touch smooth batteri backup best front camera good beat phone money thank filpkart,Positive
222,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","Cons.1.Three finger screen shot option not available2.default  system app lock option not available3. Double tap screen lock, screen wake up not available4.real time network speed tracker option not available5. Data usage icon not available6. Realme system theme app not available7.realme system default gallery app not available only Google photos pre-installed8. Realme file manager app not available only Google file manager installed9. Camera quality poor like VGA camera10. Low end...",1,-0.1142857142857143,Negative,con three finger screen shot option avail default system app lock option avail doubl tap screen lock screen wake avail real time network speed tracker option avail data usag icon avail realm system theme app avail realm system default galleri app avail googl photo pre instal realm file manag app avail googl file manag instal camera qualiti poor like vga camera low end,Negative
223,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",Realme mobile is battery very good camera is best rest mobile awesome mobile thank you,5,0.9700000000000001,Positive,realm mobil batteri good camera best rest mobil awesom mobil thank,Positive
224,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)","At this price range realme c21y is good for daily uses,rear camera is good at sunlight,u can click quite good images,it's battery backup super,display is good enough at this price range,i'm disappointed with the selfie camera,they have used very basic camera,this phone is not for selfie lovers.speaker sound is not bad,about overall performance,yeah is okay.",5,0.26818181818181813,Positive,price rang realm c good daili use rear camera good sunlight u click quit good imag batteri backup super display good enough price rang disappoint selfi camera use basic camera phone selfi lover speaker sound bad overal perform yeah okay,Positive
225,LAVA A1500  (Black),Nice Display ❤️,5,0.6,Positive,nice display,Positive
226,LAVA A1500  (Black),Value for Money,3,0.0,Neutral,valu money,Neutral
227,LAVA A1500  (Black),value for money....thanks flipcart,5,0.0,Neutral,valu money thank flipcart,Positive
228,LAVA A1500  (Black),Just AwesomeHighly Recommended,5,0.0,Neutral,awesomehighli recommend,Positive
229,LAVA A1500  (Black),"This product is not good, Battery charging take more time and battery lasting is too poor. Don't west your money.",1,-0.0625,Negative,product good batteri charg take time batteri last poor west money,Negative
230,LAVA A1500  (Black),Nice good working,4,0.6499999999999999,Positive,nice good work,Positive
231,LAVA A1500  (Black),Good phone,5,0.7,Positive,good phone,Positive
232,LAVA A1500  (Black),Good,5,0.7,Positive,good,Positive
233,LAVA A1500  (Black),Product is very nyc,5,0.2,Positive,product nyc,Positive
234,LAVA A1500  (Black),Good product,3,0.7,Positive,good product,Neutral
235,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)","Battery good,camera quality not goodPerformance is not good very slow work I am not satisfied with performance I don't like this phone because its performance is not able to me.",1,-0.31,Negative,batteri good camera qualiti goodperform good slow work satisfi perform like phone perform abl,Negative
236,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",I am very happy to purchase this product and it's display and camera quality is very good . I recommend you to buy this product,4,0.955,Positive,happi purchas product display camera qualiti good recommend buy product,Positive
237,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",Very good,3,0.9099999999999999,Positive,good,Neutral
238,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
239,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",-Camera 📸 quality is very poor...-Now days in this budget you can expect at least a case...,3,-0.04999999999999999,Negative,camera qualiti poor day budget expect least case,Neutral
240,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
241,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",Screen awesome but speaker 🔊 Too bad yr     Not satisfied  settings ad speaker,4,0.01666666666666672,Positive,screen awesom speaker bad yr satisfi set ad speaker,Positive
242,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",Nice,4,0.6,Positive,nice,Positive
243,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)",My review After using 3 days Camera- 2/5Battery- 5/5 because of fast chargerDISPLAY-3/5 because no FHD+ DisplayPerformanc-4/5Back panel and build quality is weak😡😡,3,0.2,Positive,review use day camera batteri fast chargerdisplay fhd displayperformanc back panel build qualiti weak,Neutral
244,"realme C25_Y (Glacier Blue, 64 GB)  (4 GB RAM)","Please Don't Buy This Phone.This is totally waste of money.I was excited to see my phone 50 mp phone's camera but camera is very bad.In this phone software is very different from any other realme phone.In this phone there is no one app of photos and videos.In this phone settings is very different from any other realme phone.In this phone there is no app lock and no hide apps settings.And there is no option of return in it, so that's why I could not even return this phone.Please Don't ...",1,0.017857142857142856,Positive,pleas buy phone total wast money excit see phone mp phone camera camera bad phone softwar differ realm phone phone one app photo video phone set differ realm phone phone app lock hide app set option return could even return phone pleas,Negative
245,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)","Battery good,camera quality not goodPerformance is not good very slow work I am not satisfied with performance I don't like this phone because its performance is not able to me.",1,-0.31,Negative,batteri good camera qualiti goodperform good slow work satisfi perform like phone perform abl,Negative
246,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",I am very happy to purchase this product and it's display and camera quality is very good . I recommend you to buy this product,4,0.955,Positive,happi purchas product display camera qualiti good recommend buy product,Positive
247,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",Very good,3,0.9099999999999999,Positive,good,Neutral
248,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
249,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",-Camera 📸 quality is very poor...-Now days in this budget you can expect at least a case...,3,-0.04999999999999999,Negative,camera qualiti poor day budget expect least case,Neutral
250,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
251,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",Screen awesome but speaker 🔊 Too bad yr     Not satisfied  settings ad speaker,4,0.01666666666666672,Positive,screen awesom speaker bad yr satisfi set ad speaker,Positive
252,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",Nice,4,0.6,Positive,nice,Positive
253,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)",My review After using 3 days Camera- 2/5Battery- 5/5 because of fast chargerDISPLAY-3/5 because no FHD+ DisplayPerformanc-4/5Back panel and build quality is weak😡😡,3,0.2,Positive,review use day camera batteri fast chargerdisplay fhd displayperformanc back panel build qualiti weak,Neutral
254,"realme C25_Y (Metal Grey, 64 GB)  (4 GB RAM)","Please Don't Buy This Phone.This is totally waste of money.I was excited to see my phone 50 mp phone's camera but camera is very bad.In this phone software is very different from any other realme phone.In this phone there is no one app of photos and videos.In this phone settings is very different from any other realme phone.In this phone there is no app lock and no hide apps settings.And there is no option of return in it, so that's why I could not even return this phone.Please Don't ...",1,0.017857142857142856,Positive,pleas buy phone total wast money excit see phone mp phone camera camera bad phone softwar differ realm phone phone one app photo video phone set differ realm phone phone app lock hide app set option return could even return phone pleas,Negative
255,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)","Battery good,camera quality not goodPerformance is not good very slow work I am not satisfied with performance I don't like this phone because its performance is not able to me.",1,-0.31,Negative,batteri good camera qualiti goodperform good slow work satisfi perform like phone perform abl,Negative
256,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",I am very happy to purchase this product and it's display and camera quality is very good . I recommend you to buy this product,4,0.955,Positive,happi purchas product display camera qualiti good recommend buy product,Positive
257,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",Very good,3,0.9099999999999999,Positive,good,Neutral
258,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
259,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",-Camera 📸 quality is very poor...-Now days in this budget you can expect at least a case...,3,-0.04999999999999999,Negative,camera qualiti poor day budget expect least case,Neutral
260,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
261,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",Screen awesome but speaker 🔊 Too bad yr     Not satisfied  settings ad speaker,4,0.01666666666666672,Positive,screen awesom speaker bad yr satisfi set ad speaker,Positive
262,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",Nice,4,0.6,Positive,nice,Positive
263,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)",My review After using 3 days Camera- 2/5Battery- 5/5 because of fast chargerDISPLAY-3/5 because no FHD+ DisplayPerformanc-4/5Back panel and build quality is weak😡😡,3,0.2,Positive,review use day camera batteri fast chargerdisplay fhd displayperformanc back panel build qualiti weak,Neutral
264,"realme C25_Y (Glacier Blue, 128 GB)  (4 GB RAM)","Please Don't Buy This Phone.This is totally waste of money.I was excited to see my phone 50 mp phone's camera but camera is very bad.In this phone software is very different from any other realme phone.In this phone there is no one app of photos and videos.In this phone settings is very different from any other realme phone.In this phone there is no app lock and no hide apps settings.And there is no option of return in it, so that's why I could not even return this phone.Please Don't ...",1,0.017857142857142856,Positive,pleas buy phone total wast money excit see phone mp phone camera camera bad phone softwar differ realm phone phone one app photo video phone set differ realm phone phone app lock hide app set option return could even return phone pleas,Negative
265,"LAVA Hero 600+  (Blue, Green)","At this price range no better phone could come, good built quality, light, very good call quality with clear sound, loud ringtone. Forget Nokia and Samsung buy Lava with much better quality u won't regret. Itz a steal.",5,0.3575,Positive,price rang better phone could come good built qualiti light good call qualiti clear sound loud rington forget nokia samsung buy lava much better qualiti u regret itz steal,Positive
266,"LAVA Hero 600+  (Blue, Green)",Super handy low budget + nice feature loud speaker and battery saver mode make this device fabulous.I am telling you in this budget segment no one can compitition.Close ur eyes and buy.,5,0.32666666666666666,Positive,super handi low budget nice featur loud speaker batteri saver mode make devic fabul tell budget segment one compitit close ur eye buy,Positive
267,"LAVA Hero 600+  (Blue, Green)","Perfect phone at the basic price range. This phone can be a very good secondary phone where there is an option of dual sim, backlit keypad, music player, fm radio, bluetooth and option for a 32 GB memory card. Paid Rs 812 for this which is amazing.",5,0.442,Positive,perfect phone basic price rang phone good secondari phone option dual sim backlit keypad music player fm radio bluetooth option gb memori card paid rs amaz,Positive
268,"LAVA Hero 600+  (Blue, Green)",Good product ....Must buy....I bought 2 mobiles....Thank u fkipkart,4,0.7,Positive,good product must buy bought mobil thank u fkipkart,Positive
269,"LAVA Hero 600+  (Blue, Green)",I buy 3 mobiles verry good calling nd loud sound for old pepoles..,5,0.325,Positive,buy mobil verri good call nd loud sound old pepol,Positive
270,"LAVA Hero 600+  (Blue, Green)",Best feature phone in this price segment. Everything is good. the one point is no vibrating.,5,0.85,Positive,best featur phone price segment everyth good one point vibrat,Positive
271,"LAVA Hero 600+  (Blue, Green)",Worth money value for basic purpose..... Thankyou Flipkart 😊,5,0.15,Positive,worth money valu basic purpos thankyou flipkart,Positive
272,"LAVA Hero 600+  (Blue, Green)",Very bad phone,1,-0.9099999999999998,Negative,bad phone,Negative
273,"LAVA Hero 600+  (Blue, Green)",Battery backup is very poor so sad 😭😭😭,1,-0.51,Negative,batteri backup poor sad,Negative
274,"LAVA Hero 600+  (Blue, Green)",Good mobile,5,0.7,Positive,good mobil,Positive
275,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)","Battery good,camera quality not goodPerformance is not good very slow work I am not satisfied with performance I don't like this phone because its performance is not able to me.",1,-0.31,Negative,batteri good camera qualiti goodperform good slow work satisfi perform like phone perform abl,Negative
276,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",I am very happy to purchase this product and it's display and camera quality is very good . I recommend you to buy this product,4,0.955,Positive,happi purchas product display camera qualiti good recommend buy product,Positive
277,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",Very good,3,0.9099999999999999,Positive,good,Neutral
278,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
279,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",-Camera 📸 quality is very poor...-Now days in this budget you can expect at least a case...,3,-0.04999999999999999,Negative,camera qualiti poor day budget expect least case,Neutral
280,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
281,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",Screen awesome but speaker 🔊 Too bad yr     Not satisfied  settings ad speaker,4,0.01666666666666672,Positive,screen awesom speaker bad yr satisfi set ad speaker,Positive
282,"realme C25_Y (Metal Grey, 128 GB)  (4 GB RAM)",Nice,4,0.6,Positive,nice,Positive
